threshold,tp_cases,fp_hits,precision,recall,f1
0.05,284,171,0.6242,0.9965,0.7676
0.1,284,27,0.9132,0.9965,0.953
0.15,280,0,1.0,0.9825,0.9912
0.2,279,0,1.0,0.9789,0.9894
0.25,278,0,1.0,0.9754,0.9876
0.3,271,0,1.0,0.9509,0.9748
0.35,269,0,1.0,0.9439,0.9711
0.4,257,0,1.0,0.9018,0.9483
0.45,253,0,1.0,0.8877,0.9405
0.5,245,0,1.0,0.8596,0.9245
0.55,229,0,1.0,0.8035,0.8911
0.6,209,0,1.0,0.7333,0.8462
0.65,193,0,1.0,0.6772,0.8075
0.7,175,0,1.0,0.614,0.7609
0.75,158,0,1.0,0.5544,0.7133
0.8,140,0,1.0,0.4912,0.6588
0.85,135,0,1.0,0.4737,0.6429
0.9,112,0,1.0,0.393,0.5642
0.95,99,0,1.0,0.3474,0.5156
1.0,93,0,1.0,0.3263,0.4921
