dir,n_runs,threshold,fp_hits,candidate_pairs
data/runs/corpus_all,40,0.05,476,86681
data/runs/corpus_all,40,0.1,87,86681
data/runs/corpus_all,40,0.15,43,86681
data/runs/corpus_all,40,0.2,6,86681
data/runs/corpus_all,40,0.25,4,86681
data/runs/corpus_all,40,0.3,2,86681
data/runs/corpus_all,40,0.35,0,86681
data/runs/corpus_all,40,0.4,0,86681
data/runs/corpus_all,40,0.45,0,86681
data/runs/corpus_all,40,0.5,0,86681
data/runs/corpus_all,40,0.55,0,86681
data/runs/corpus_all,40,0.6,0,86681
data/runs/corpus_all,40,0.65,0,86681
data/runs/corpus_all,40,0.7,0,86681
data/runs/corpus_all,40,0.75,0,86681
data/runs/corpus_all,40,0.8,0,86681
data/runs/corpus_all,40,0.85,0,86681
data/runs/corpus_all,40,0.9,0,86681
data/runs/corpus_all,40,0.95,0,86681
data/runs/corpus_all,40,1.0,0,86681
data/runs/a0,8,0.05,0,888
data/runs/a0,8,0.1,0,888
data/runs/a0,8,0.15,0,888
data/runs/a0,8,0.2,0,888
data/runs/a0,8,0.25,0,888
data/runs/a0,8,0.3,0,888
data/runs/a0,8,0.35,0,888
data/runs/a0,8,0.4,0,888
data/runs/a0,8,0.45,0,888
data/runs/a0,8,0.5,0,888
data/runs/a0,8,0.55,0,888
data/runs/a0,8,0.6,0,888
data/runs/a0,8,0.65,0,888
data/runs/a0,8,0.7,0,888
data/runs/a0,8,0.75,0,888
data/runs/a0,8,0.8,0,888
data/runs/a0,8,0.85,0,888
data/runs/a0,8,0.9,0,888
data/runs/a0,8,0.95,0,888
data/runs/a0,8,1.0,0,888
data/runs/a0_long,8,0.05,17,8832
data/runs/a0_long,8,0.1,2,8832
data/runs/a0_long,8,0.15,0,8832
data/runs/a0_long,8,0.2,0,8832
data/runs/a0_long,8,0.25,0,8832
data/runs/a0_long,8,0.3,0,8832
data/runs/a0_long,8,0.35,0,8832
data/runs/a0_long,8,0.4,0,8832
data/runs/a0_long,8,0.45,0,8832
data/runs/a0_long,8,0.5,0,8832
data/runs/a0_long,8,0.55,0,8832
data/runs/a0_long,8,0.6,0,8832
data/runs/a0_long,8,0.65,0,8832
data/runs/a0_long,8,0.7,0,8832
data/runs/a0_long,8,0.75,0,8832
data/runs/a0_long,8,0.8,0,8832
data/runs/a0_long,8,0.85,0,8832
data/runs/a0_long,8,0.9,0,8832
data/runs/a0_long,8,0.95,0,8832
data/runs/a0_long,8,1.0,0,8832
