threshold,tp_cases,fp_hits,precision,recall,f1
0.05,400,1368,0.2262,1.0,0.369
0.1,400,291,0.5789,1.0,0.7333
0.15,400,112,0.7812,1.0,0.8772
0.2,399,19,0.9545,0.9975,0.9756
0.25,393,7,0.9825,0.9825,0.9825
0.3,392,1,0.9975,0.98,0.9887
0.35,387,0,1.0,0.9675,0.9835
0.4,376,0,1.0,0.94,0.9691
0.45,366,0,1.0,0.915,0.9556
0.5,356,0,1.0,0.89,0.9418
0.55,346,0,1.0,0.865,0.9276
0.6,334,0,1.0,0.835,0.9101
0.65,320,0,1.0,0.8,0.8889
0.7,308,0,1.0,0.77,0.8701
0.75,289,0,1.0,0.7225,0.8389
0.8,283,0,1.0,0.7075,0.8287
0.85,271,0,1.0,0.6775,0.8077
0.9,252,0,1.0,0.63,0.773
0.95,235,0,1.0,0.5875,0.7402
1.0,212,0,1.0,0.53,0.6928
