dir,n_runs,threshold,fp_hits,candidate_pairs
data/runs/corpus_all,40,0.05,1838,96502
data/runs/corpus_all,40,0.1,405,96502
data/runs/corpus_all,40,0.15,176,96502
data/runs/corpus_all,40,0.2,27,96502
data/runs/corpus_all,40,0.25,10,96502
data/runs/corpus_all,40,0.3,4,96502
data/runs/corpus_all,40,0.35,1,96502
data/runs/corpus_all,40,0.4,0,96502
data/runs/corpus_all,40,0.45,0,96502
data/runs/corpus_all,40,0.5,0,96502
data/runs/corpus_all,40,0.55,0,96502
data/runs/corpus_all,40,0.6,0,96502
data/runs/corpus_all,40,0.65,0,96502
data/runs/corpus_all,40,0.7,0,96502
data/runs/corpus_all,40,0.75,0,96502
data/runs/corpus_all,40,0.8,0,96502
data/runs/corpus_all,40,0.85,0,96502
data/runs/corpus_all,40,0.9,0,96502
data/runs/corpus_all,40,0.95,0,96502
data/runs/corpus_all,40,1.0,0,96502
data/runs/a0,8,0.05,0,1221
data/runs/a0,8,0.1,0,1221
data/runs/a0,8,0.15,0,1221
data/runs/a0,8,0.2,0,1221
data/runs/a0,8,0.25,0,1221
data/runs/a0,8,0.3,0,1221
data/runs/a0,8,0.35,0,1221
data/runs/a0,8,0.4,0,1221
data/runs/a0,8,0.45,0,1221
data/runs/a0,8,0.5,0,1221
data/runs/a0,8,0.55,0,1221
data/runs/a0,8,0.6,0,1221
data/runs/a0,8,0.65,0,1221
data/runs/a0,8,0.7,0,1221
data/runs/a0,8,0.75,0,1221
data/runs/a0,8,0.8,0,1221
data/runs/a0,8,0.85,0,1221
data/runs/a0,8,0.9,0,1221
data/runs/a0,8,0.95,0,1221
data/runs/a0,8,1.0,0,1221
data/runs/a0_long,8,0.05,168,10752
data/runs/a0_long,8,0.1,29,10752
data/runs/a0_long,8,0.15,13,10752
data/runs/a0_long,8,0.2,0,10752
data/runs/a0_long,8,0.25,0,10752
data/runs/a0_long,8,0.3,0,10752
data/runs/a0_long,8,0.35,0,10752
data/runs/a0_long,8,0.4,0,10752
data/runs/a0_long,8,0.45,0,10752
data/runs/a0_long,8,0.5,0,10752
data/runs/a0_long,8,0.55,0,10752
data/runs/a0_long,8,0.6,0,10752
data/runs/a0_long,8,0.65,0,10752
data/runs/a0_long,8,0.7,0,10752
data/runs/a0_long,8,0.75,0,10752
data/runs/a0_long,8,0.8,0,10752
data/runs/a0_long,8,0.85,0,10752
data/runs/a0_long,8,0.9,0,10752
data/runs/a0_long,8,0.95,0,10752
data/runs/a0_long,8,1.0,0,10752
