threshold,tp_cases,fp_hits,precision,recall,f1
0.05,285,1632,0.1487,1.0,0.2589
0.1,284,278,0.5053,0.9965,0.6706
0.15,284,119,0.7047,0.9965,0.8256
0.2,284,0,1.0,0.9965,0.9982
0.25,284,0,1.0,0.9965,0.9982
0.3,278,0,1.0,0.9754,0.9876
0.35,276,0,1.0,0.9684,0.984
0.4,271,0,1.0,0.9509,0.9748
0.45,265,0,1.0,0.9298,0.9636
0.5,261,0,1.0,0.9158,0.956
0.55,251,0,1.0,0.8807,0.9366
0.6,245,0,1.0,0.8596,0.9245
0.65,236,0,1.0,0.8281,0.906
0.7,224,0,1.0,0.786,0.8802
0.75,212,0,1.0,0.7439,0.8531
0.8,199,0,1.0,0.6982,0.8223
0.85,181,0,1.0,0.6351,0.7768
0.9,158,0,1.0,0.5544,0.7133
0.95,142,0,1.0,0.4982,0.6651
1.0,104,0,1.0,0.3649,0.5347
