dir,n_runs,threshold,fp_hits,candidate_pairs
data/runs/corpus_all,40,0.05,3361,164395
data/runs/corpus_all,40,0.1,1031,164395
data/runs/corpus_all,40,0.15,309,164395
data/runs/corpus_all,40,0.2,91,164395
data/runs/corpus_all,40,0.25,26,164395
data/runs/corpus_all,40,0.3,6,164395
data/runs/corpus_all,40,0.35,0,164395
data/runs/corpus_all,40,0.4,0,164395
data/runs/corpus_all,40,0.45,0,164395
data/runs/corpus_all,40,0.5,0,164395
data/runs/corpus_all,40,0.55,0,164395
data/runs/corpus_all,40,0.6,0,164395
data/runs/corpus_all,40,0.65,0,164395
data/runs/corpus_all,40,0.7,0,164395
data/runs/corpus_all,40,0.75,0,164395
data/runs/corpus_all,40,0.8,0,164395
data/runs/corpus_all,40,0.85,0,164395
data/runs/corpus_all,40,0.9,0,164395
data/runs/corpus_all,40,0.95,0,164395
data/runs/corpus_all,40,1.0,0,164395
data/runs/a0,8,0.05,0,1702
data/runs/a0,8,0.1,0,1702
data/runs/a0,8,0.15,0,1702
data/runs/a0,8,0.2,0,1702
data/runs/a0,8,0.25,0,1702
data/runs/a0,8,0.3,0,1702
data/runs/a0,8,0.35,0,1702
data/runs/a0,8,0.4,0,1702
data/runs/a0,8,0.45,0,1702
data/runs/a0,8,0.5,0,1702
data/runs/a0,8,0.55,0,1702
data/runs/a0,8,0.6,0,1702
data/runs/a0,8,0.65,0,1702
data/runs/a0,8,0.7,0,1702
data/runs/a0,8,0.75,0,1702
data/runs/a0,8,0.8,0,1702
data/runs/a0,8,0.85,0,1702
data/runs/a0,8,0.9,0,1702
data/runs/a0,8,0.95,0,1702
data/runs/a0,8,1.0,0,1702
data/runs/a0_long,8,0.05,58,13824
data/runs/a0_long,8,0.1,11,13824
data/runs/a0_long,8,0.15,4,13824
data/runs/a0_long,8,0.2,0,13824
data/runs/a0_long,8,0.25,0,13824
data/runs/a0_long,8,0.3,0,13824
data/runs/a0_long,8,0.35,0,13824
data/runs/a0_long,8,0.4,0,13824
data/runs/a0_long,8,0.45,0,13824
data/runs/a0_long,8,0.5,0,13824
data/runs/a0_long,8,0.55,0,13824
data/runs/a0_long,8,0.6,0,13824
data/runs/a0_long,8,0.65,0,13824
data/runs/a0_long,8,0.7,0,13824
data/runs/a0_long,8,0.75,0,13824
data/runs/a0_long,8,0.8,0,13824
data/runs/a0_long,8,0.85,0,13824
data/runs/a0_long,8,0.9,0,13824
data/runs/a0_long,8,0.95,0,13824
data/runs/a0_long,8,1.0,0,13824
