threshold,tp_cases,fp_hits,precision,recall,f1
0.05,285,5366,0.0504,1.0,0.096
0.1,285,2196,0.1149,1.0,0.2061
0.15,285,1356,0.1737,1.0,0.296
0.2,284,974,0.2258,0.9965,0.3681
0.25,284,931,0.2337,0.9965,0.3787
0.3,279,704,0.2838,0.9789,0.4401
0.35,277,490,0.3611,0.9719,0.5266
0.4,275,308,0.4717,0.9649,0.6336
0.45,270,202,0.572,0.9474,0.7133
0.5,267,156,0.6312,0.9368,0.7542
0.55,257,101,0.7179,0.9018,0.7994
0.6,254,90,0.7384,0.8912,0.8076
0.65,245,66,0.7878,0.8596,0.8221
0.7,234,26,0.9,0.8211,0.8587
0.75,227,13,0.9458,0.7965,0.8648
0.8,220,7,0.9692,0.7719,0.8594
0.85,197,7,0.9657,0.6912,0.8057
0.9,182,7,0.963,0.6386,0.7679
0.95,174,0,1.0,0.6105,0.7582
1.0,164,0,1.0,0.5754,0.7305
